"","gene","snp","association_id","pvalue","standard_error","beta_number","range","traits","efo_id"
"507","IL1RN","rs1374281","41350531",4e-06,0.0548061,0.253844,"[0.15-0.36]","interleukin-1 beta measurement","EFO_0004812"
"508","IL1RN","rs990524","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"509","IL1RN","rs10175462","63346777",8e-14,NA,NA,NA,"cervical carcinoma","EFO_0001061"
"510","IL1RN","rs11687782","41350441",2e-06,0.0514873,0.243843,"[0.14-0.34]","interleukin-1 beta measurement","EFO_0004812"
"511","IL1RN","rs4849148","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"512","IL1RN","rs315936","41350181",4e-07,0.0603582,0.305224,"[0.19-0.42]","interleukin-1 beta measurement","EFO_0004812"
"513","IL1RN","rs768627","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"514","IL1RN","rs13404928","41350076",2e-07,0.063416,0.330247,"[0.21-0.45]","interleukin-1 beta measurement","EFO_0004812"
"515","IL1RN","rs1446521","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"516","IL1RN","rs10186133","27239767",1e-06,0.0057,0.0281,"[0.017-0.039]","coronary artery disease","EFO_0001645"
"517","IL1RN","rs1446519","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"518","IL1RN","rs12619508","55309494",8e-10,NA,0.01,NA,"optic disc size measurement","EFO_0004832"
"519","IL1RN","rs7599662","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"520","IL1RN","rs6707386","47886600",4e-08,0.0032,0.0175,"[0.011-0.024]","urate measurement","EFO_0004531"
"521","IL1RN","rs2515401","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"522","IL1RN","rs446433","41350256",7e-07,0.0594548,0.294991,"[0.18-0.41]","interleukin-1 beta measurement","EFO_0004812"
"523","IL1RN","rs10207930","41350526",4e-06,0.0524944,0.243146,"[0.14-0.35]","interleukin-1 beta measurement","EFO_0004812"
"524","IL1RN","rs17660913","41350006",2e-09,0.070588,0.421768,"[0.28-0.56]","interleukin-1 beta measurement","EFO_0004812"
"525","IL1RN","rs10171849","21884325",7e-21,0.003683524,0.03451534,"[0.027-0.042]","neutrophil count","EFO_0004833"
"526","IL1RN","rs2034260","31666033",3e-07,0.04967352,0.25411773,"[0.16-0.35]","dysmenorrheic pain measurement","EFO_0007889"
"527","IL1RN","rs4848312","63370323",2e-48,NA,0.1472,NA,"interleukin 1 receptor antagonist measurement","EFO_0004754"
"528","IL1RN","rs3180235","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"529","IL1RN","rs11897481","62072379",8e-08,NA,NA,NA,"neurofibrillary tangles measurement","EFO_0006797"
"530","IL1RN","rs4849147","61998516",3e-10,0.00215647,0.0136355,"[0.0094-0.0179]","c-reactive protein measurement","EFO_0004458"
"531","IL1RN","rs1794068","41350286",7e-07,0.0594566,0.294772,"[0.18-0.41]","interleukin-1 beta measurement","EFO_0004812"
"532","IL1RN","rs3816331","41350521",4e-06,0.0662094,0.306884,"[0.18-0.44]","interleukin-1 beta measurement","EFO_0004812"
"533","IL1RN","rs13409371","41430264",5e-36,0.004,0.048,"[0.04-0.056]","c-reactive protein measurement","EFO_0004458"
"534","IL1RN","rs11681884","14951239",6e-07,0.05,0.24,"[0.14-0.34]","stroke","EFO_0000712"
"535","IL1RN","rs2862853","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"536","IL1RN","rs495410","41350266",7e-07,0.059455,0.294977,"[0.18-0.41]","interleukin-1 beta measurement","EFO_0004812"
"537","IL1RN","rs1530551","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"538","IL1RN","rs6728590","41350426",2e-06,0.0514872,0.24494,"[0.14-0.35]","interleukin-1 beta measurement","EFO_0004812"
"539","IL1RN","rs10176274","64698614",4e-10,0.0061,0.0378,"[0.026-0.05]","c-reactive protein measurement","EFO_0004458"
"540","IL1RN","rs921065","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"542","IL1RN","rs128964","41350241",7e-07,0.059485,0.295553,"[0.18-0.41]","interleukin-1 beta measurement","EFO_0004812"
"543","IL1RN","rs55709272","61998520",3e-102,0.001993,0.0427795,"[0.039-0.047]","c-reactive protein measurement","EFO_0004458"
"544","IL1RN","rs11687786","62082152",2e-09,NA,NA,NA,"PHF-tau measurement","EFO_0010750"
"545","IL1RN","rs2019137","21840585",4e-11,0.003602315,0.02384811,"[0.017-0.031]","lymphocyte count","EFO_0004587"
"546","IL1RN","rs4251984","41350111",4e-07,0.0602628,0.306722,"[0.19-0.42]","interleukin-1 beta measurement","EFO_0004812"
"548","IL1RN","rs315927","41350151",4e-07,0.0575617,0.291866,"[0.18-0.4]","interleukin-1 beta measurement","EFO_0004812"
"549","IL1RN","rs1530550","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"550","IL1RN","rs4849153","41350506",3e-06,0.0564059,0.262464,"[0.15-0.37]","interleukin-1 beta measurement","EFO_0004812"
"551","IL1RN","rs2902452","41350456",2e-06,0.0545647,0.257533,"[0.15-0.36]","interleukin-1 beta measurement","EFO_0004812"
"552","IL1RN","rs35399276",NA,NA,NA,NA,NA,NA,NA
"553","IL1RN","rs13030546","41350486",3e-06,0.0612231,0.287933,"[0.17-0.41]","interleukin-1 beta measurement","EFO_0004812"
"554","IL1RN","rs442710","41350281",7e-07,0.0594551,0.29497,"[0.18-0.41]","interleukin-1 beta measurement","EFO_0004812"
"555","IL1RN","rs11123161","41350421",2e-06,0.0514913,0.24496,"[0.14-0.35]","interleukin-1 beta measurement","EFO_0004812"
"556","IL1RN","rs1446522","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"557","IL1RN","rs4251967","41350086",3e-07,0.0603293,0.308,"[0.19-0.43]","interleukin-1 beta measurement","EFO_0004812"
"558","IL1RN","rs432014","41350236",6e-07,0.0595197,0.297075,"[0.18-0.41]","interleukin-1 beta measurement","EFO_0004812"
"559","IL1RN","rs45627132","31660881",9e-06,NA,NA,NA,"erosive tooth wear measurement","EFO_0009331"
"560","IL1RN","rs444413","41350306",8e-07,0.0594468,0.294071,"[0.18-0.41]","interleukin-1 beta measurement","EFO_0004812"
"561","IL1RN","rs4251985","41350191",5e-07,0.0602534,0.303269,"[0.19-0.42]","interleukin-1 beta measurement","EFO_0004812"
"562","IL1RN","rs6738377","41350406",2e-06,0.0514799,0.24642,"[0.15-0.35]","interleukin-1 beta measurement","EFO_0004812"
"563","IL1RN","rs6743376","37410",2e-26,0.01,0.13,"[0.11-0.15]","interleukin 1 receptor antagonist measurement","EFO_0004754"
"564","IL1RN","rs28938790","34990055",2e-07,NA,NA,NA,"adolescent idiopathic scoliosis","EFO_0005423"
"565","IL1RN","rs6741180","64674983",9e-21,NA,9.35,NA,"alkaline phosphatase measurement","EFO_0004533"
"566","IL1RN","rs895496","41350540",4e-06,0.0548121,0.253833,"[0.15-0.36]","interleukin-1 beta measurement","EFO_0004812"
"567","IL1RN","rs1542176","41350401",2e-06,0.0514808,0.246716,"[0.15-0.35]","interleukin-1 beta measurement","EFO_0004812"
"568","IL1RN","rs7575934","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"569","IL1RN","rs142138455","64080679",1e-19,0.0025923518,0.023566494,"[0.018-0.029]","lymphocyte count","EFO_0004587"
"570","IL1RN","rs495282","41350261",7e-07,0.0594549,0.294984,"[0.18-0.41]","interleukin-1 beta measurement","EFO_0004812"
"571","IL1RN","rs454078","41350231",6e-07,0.0595324,0.297243,"[0.18-0.41]","interleukin-1 beta measurement","EFO_0004812"
"572","IL1RN","rs6754298","41350461",2e-06,0.0545839,0.257501,"[0.15-0.36]","interleukin-1 beta measurement","EFO_0004812"
"573","IL1RN","rs408392","41350276",7e-07,0.0594552,0.294972,"[0.18-0.41]","interleukin-1 beta measurement","EFO_0004812"
"574","IL1RN","rs2862774","41350554",4e-06,0.0618469,0.284154,"[0.16-0.41]","interleukin-1 beta measurement","EFO_0004812"
"575","IL1RN","rs2853628","41350066",6e-08,0.061174,0.33161,"[0.21-0.45]","interleukin-1 beta measurement","EFO_0004812"
"576","IL1RN","rs11123169","47232844",3e-22,3e-04,0.0025,"[0.0019-0.0031]","glomerular filtration rate","EFO_0005208"
"577","IL1RN","rs10496447","41350011",2e-09,0.0705881,0.421763,"[0.28-0.56]","interleukin-1 beta measurement","EFO_0004812"
"578","IL1RN","rs4849169","62649712",4e-28,0.0019,0.020898,"[0.017-0.025]","lymphocyte count","EFO_0004587"
"579","IL1RN","rs1665189","47879707",5e-07,NA,NA,NA,"temporal horn of lateral ventricle volume measurement","EFO_0010333"
"580","IL1RN","rs10496448","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"581","IL1RN","rs67802835","36058950",5e-09,NA,NA,NA,"body mass index","EFO_0004340"
"582","IL1RN","rs13011842","41350061",2e-08,0.0646086,0.360731,"[0.23-0.49]","interleukin-1 beta measurement","EFO_0004812"
"583","IL1RN","rs1630153","41350161",4e-07,0.0575751,0.291784,"[0.18-0.4]","interleukin-1 beta measurement","EFO_0004812"
"584","IL1RN","rs2862772",NA,NA,NA,NA,NA,NA,NA
"585","IL1RN","rs315931","41350156",4e-07,0.05758,0.291844,"[0.18-0.4]","interleukin-1 beta measurement","EFO_0004812"
"586","IL1RN","rs6731551","41350431",2e-06,0.0514855,0.244928,"[0.14-0.35]","interleukin-1 beta measurement","EFO_0004812"
"587","IL1RN","rs11473501","21841724",4e-09,0.003575305,0.02101972,"[0.014-0.028]","lymphocyte percentage of leukocytes","EFO_0007993"
"588","IL1RN","rs1794067","41350291",7e-07,0.0594565,0.294647,"[0.18-0.41]","interleukin-1 beta measurement","EFO_0004812"
"589","IL1RN","rs752590","62741724",2e-49,0.002262,0.033428,"[0.029-0.038]","red blood cell density measurement","EFO_0007978"
"590","IL1RN","rs2515406","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"591","IL1RN","rs431726","41350436",2e-06,0.0605732,0.287653,"[0.17-0.41]","interleukin-1 beta measurement","EFO_0004812"
"592","IL1RN","rs148104667","61998512",1e-10,0.00782737,0.0503992,"[0.035-0.066]","c-reactive protein measurement","EFO_0004458"
"593","IL1RN","rs28946269","47465079",9e-06,NA,NA,"[1.31188-2.01632]","non-alcoholic fatty liver disease","EFO_0003095"
"594","IL1RN","rs11885498","41350584",9e-06,0.0551324,0.244745,"[0.14-0.35]","interleukin-1 beta measurement","EFO_0004812"
"595","IL1RN","rs11123170","47229795",1e-27,7e-04,0.0077,"[0.0063-0.0091]","blood urea nitrogen measurement","EFO_0004741"
"596","IL1RN","rs419598","41350246",7e-07,0.0594547,0.294997,"[0.18-0.41]","interleukin-1 beta measurement","EFO_0004812"
"597","IL1RN","rs7560180","61937193",7e-30,NA,0.03,NA,"hemoglobin measurement","EFO_0004509"
"598","IL1RN","rs2100071","47498234",3e-25,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"599","S100A7","rs4845552","13652",6e-06,NA,NA,NA,"hippocampal atrophy","EFO_0005039"
"600","S100A7","rs724781","64203047",5e-14,0.0024658716,0.018576419,"[0.014-0.023]","basophil percentage of leukocytes","EFO_0007992"
"601","S100A7","rs3014818","78223420",8e-07,0.1655,NA,"[1.89-2.54]","Mastocytosis","EFO_0009001"
"602","S100A7","rs34316494","21542865",9e-06,0.0299,0.1331,"[0.074-0.192]","stem Cell Factor measurement","EFO_0008291"
"603","S100A7","rs1560833","27179569",5e-13,0.02,0.16,"[0.12-0.2]","Matrix Metalloproteinase 8 Measurement","EFO_0008466"
"604","S100A7","rs2265081","62415944",5e-08,0.19278,1.054,"[0.68-1.43]","Alzheimer's disease, cognitive decline measurement","EFO_0000249, EFO_0007710"
"605","S100A7","rs3014807","62431516",9e-16,NA,NA,NA,"monocyte count","EFO_0005091"
"606","S100A7","rs58056804","31395724",5e-19,0.06,0.5,"[0.38-0.62]","blood protein measurement","EFO_0007937"
"607","S100A7","rs34216521","34989153",1e-38,NA,NA,NA,"adolescent idiopathic scoliosis","EFO_0005423"
"608","S100A7","rs6672390","55278817",7e-10,0.001261,0.004543,"[0.0021-0.007]","high density lipoprotein cholesterol measurement, sleep duration","EFO_0004612, EFO_0005271"
"609","S100A7","rs146473781","62312932",1e-08,NA,0.05429,NA,"protein measurement","EFO_0004747"
"610","S100A7","rs138957616","40930449",4e-08,0.045,0.2473,"[0.16-0.34]","pulse pressure measurement","EFO_0005763"
"611","S100A7","rs28696717","36150052",1e-06,0.09,0.436,"[0.26-0.61]","obsessive-compulsive disorder","EFO_0004242"
"612","EFNA3","rs11807418","56269823",4e-08,0.0023,0.0142,"[0.0097-0.0187]","low density lipoprotein cholesterol measurement","EFO_0004611"
"613","EFNA3","rs11264330","28911",5e-06,NA,0.04,NA,"CCL2 measurement","EFO_0004749"
"614","EFNA3","rs12142017","55715751",2e-15,NA,NA,NA,"BMI-adjusted waist-hip ratio","EFO_0007788"
"615","EFNA3","rs7366355","56246036",1e-08,NA,NA,"[1.04-1.08]","cataract","EFO_0001059"
"616","EFNA3","rs10908458","19564",2e-15,NA,3.7,"[3.10-4.20]","serum gamma-glutamyl transferase measurement","EFO_0004532"
"617","EFNA3","rs61811931","77546282",2e-06,NA,NA,NA,"Bell's palsy","EFO_0007167"
"618","EFNA3","rs141845046","62273621",8e-18,0.006,0.048,"[0.036-0.06]","body mass index","EFO_0004340"
"619","EFNA3","rs11264327","35113217",7e-09,0.00171,0.00987,"[0.0065-0.0132]","albuminuria","EFO_0004285"
"620","EFNA3","rs4845402","61689094",5e-13,NA,NA,NA,"Abnormality of refraction","HP_0000539"
"622","EFNA3","rs2242194","15059587",2e-06,NA,NA,NA,"schizophrenia","EFO_0000692"
"623","EFNA3","rs77548871","63319879",7e-38,0.0047,0.0602,"[0.051-0.069]","appendicular lean mass","EFO_0004980"
"624","EFNA3","rs45444697","31394744",8e-15,0.03,0.23,"[0.17-0.29]","blood protein measurement","EFO_0007937"
"625","EFNA3","rs4971100","64651198",1e-82,0.00187,0.036,"[0.032-0.04]","urate measurement","EFO_0004531"
"626","EFNA3","rs4971092","64719840",1e-08,NA,NA,"[0.590822946283968-0.773640360594401]","gastric carcinoma","EFO_0000178"
"627","EFNA3","rs76735429","35673078",4e-09,0.01661,NA,NA,"DNA methylation","GO_0006306"
"628","EFNA3","rs11264341","26854",6e-19,0.006,0.05,"[0.038-0.062]","urate measurement","EFO_0004531"
"630","EFNA3","rs12129003","62499722",2e-17,NA,NA,NA,"platelet count","EFO_0004309"
"631","EFNA3","rs71628645","36506072",5e-10,NA,NA,NA,"erythrocyte count","EFO_0004305"
"632","EFNA3","rs11264339","47486834",3e-13,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"633","EFNA3","rs35749011","55249484",2e-70,0.0342,0.6068,"[0.54-0.67]","parkinson's disease","EFO_0002508"
"634","EFNA3","rs4845703","55715867",4e-12,NA,NA,NA,"BMI-adjusted waist-hip ratio","EFO_0007788"
"635","EFNA3","rs4971091","40900550",4e-11,NA,0.01288,NA,"body fat distribution","EFO_0004341"
"636","EFNA3","rs4971099","47429833",7e-15,0.0027,0.021,"[0.016-0.026]","dental caries, dentures","EFO_0003819, EFO_0010078"
"637","EFNA3","rs57742792","55309423",4e-11,NA,0.01,NA,"optic disc size measurement","EFO_0004832"
"638","EFNA3","rs34455078","49506134",6e-06,0.042001776,0.09246136,"[0.01-0.175]","cognitive function measurement","EFO_0008354"
"639","EFNA3","rs4971079","24297561",3e-10,NA,NA,NA,"ankylosing spondylitis, crohn's disease, psoriasis, sclerosing cholangitis, ulcerative colitis","EFO_0003898, EFO_0000384, EFO_0000676, EFO_0004268, EFO_0000729"
"640","EFNA3","rs4971059","47486834",3e-13,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"641","EFNA3","rs11264296","64200257",9e-10,0.0022491175,0.0137743475,"[0.0094-0.0182]","eosinophil count","EFO_0004842"
"642","EFNA3","rs2242195","36058678",1e-08,NA,NA,NA,"body mass index","EFO_0004340"
"643","EFNA3","rs72702268","63319807",4e-17,0.0063,0.0531,"[0.041-0.065]","appendicular lean mass","EFO_0004980"
"644","EFNA3","rs12904","64675961",1e-30,NA,11.5,NA,"serum alanine aminotransferase measurement","EFO_0004735"
"645","EFNA3","rs4460629","25389601",4e-14,0.018,0.136,"[0.10-0.17]","magnesium measurement","EFO_0004845"
"647","EFNA3","rs113405739","64194681",4e-24,0.0066370904,0.06720668,"[0.054-0.08]","hematocrit","EFO_0004348"
"648","EFNA3","rs6676150","47759570",5e-11,0.054,0.356,"[0.25-0.46]","glomerular filtration rate","EFO_0005208"
"649","EFNA3","rs11264323","64398848",2e-11,0.0023098993,0.015460927,"[0.011-0.02]","platelet crit","EFO_0007985"
"650","EFNA3","rs4390169","36095470",4e-15,NA,NA,NA,"hair colour measurement","EFO_0007822"
"651","EFNA3","rs3766918",NA,NA,NA,NA,NA,NA,NA
"652","EFNA3","rs4246529","47885662",2e-08,0.0138,0.0775,"[0.05-0.105]","urate measurement","EFO_0004531"
"653","EFNA3","rs34257409","47785512",2e-15,0.0020197,0.0160895,"[0.012-0.02]","urinary albumin to creatinine ratio","EFO_0007778"
"654","EFNA3","rs140676308","55314420",8e-11,0.0199942,0.130478,"[0.091-0.17]","appendicular lean mass","EFO_0004980"
"655","EFNA3","rs11581730","30561254",3e-17,0.036,0.306,"[0.24-0.38]","digit length ratio","EFO_0004841"
"656","EFNA3","rs569036944","63126487",1e-08,0.034,0.188,"[0.12-0.25]","HbA1c measurement","EFO_0004541"
"657","EFNA3","rs11264302","64668469",3e-08,0.00125682,0.00705795,"[0.0046-0.0095]","gait measurement","EFO_0007680"
"658","EFNA3","rs11589479","36157067",3e-11,0.0025641494,0.01709262,"[0.012-0.022]","risk-taking behaviour","EFO_0008579"
"659","EFNA3","rs11264322","63103581",7e-07,0.002,0.01,"[0.0061-0.0139]","vitamin D measurement","EFO_0004631"
"660","EFNA3","rs2070803","47886152",2e-60,0.0033,0.0542,"[0.048-0.061]","urate measurement","EFO_0004531"
"661","EFNA3","rs147847496","64606631",5e-11,NA,NA,"[1.11-1.22]","prostate carcinoma","EFO_0001663"
"662","EFNA3","rs4971088","53690162",1e-08,NA,NA,NA,"brain volume measurement","EFO_0006930"
"663","EFNA3","rs4440846","45188212",4e-07,0.13,0.64,"[0.39-0.89]","sensory perception of sweet taste","GO_0050916"
"664","EFNA3","rs11264303","64197354",1e-10,0.0022150935,0.014309819,"[0.01-0.0187]","eosinophil percentage of leukocytes","EFO_0007991"
"665","EFNA3","rs4745","63421861",7e-13,0.00555835,0.0396682,"[0.029-0.051]","electrocardiography","EFO_0004327"
"666","EFNA3","rs905938","47690998",2e-36,0.002,0.025,"[0.021-0.029]","BMI-adjusted waist-hip ratio","EFO_0007788"
"667","EFNA3","rs150138294","55715746",2e-17,NA,NA,NA,"BMI-adjusted waist-hip ratio","EFO_0007788"
"668","EFNA3","rs141942982","41133867",1e-20,0.0039,0.0362,"[0.029-0.044]","FEV/FEC ratio","EFO_0004713"
"669","EFNA3","rs7525164","64335711",6e-21,0.0065896413,0.061924275,"[0.049-0.075]","erythrocyte count","EFO_0004305"
"670","EFNA3","rs10908454","63106389",2e-07,0.00203689,0.0106306,"[0.0066-0.0146]","vitamin D measurement","EFO_0004631"
"671","EFNA3","rs1870940","63824425",5e-17,0.00316285,0.0253915,"[0.019-0.032]","testosterone measurement","EFO_0004908"
"672","EFNA3","rs56103503","64606626",2e-14,NA,NA,"[1.04-1.07]","prostate carcinoma","EFO_0001663"
"673","TAGLN2","rs2501324","17045",2e-10,NA,0.14,NA,"bilirubin measurement","EFO_0004570"
"674","TAGLN2","rs34687326","19713976",1e-08,NA,NA,NA,"crohn's disease","EFO_0000384"
"675","TAGLN2","rs6659742","32940",7e-07,NA,NA,"[1.52-2.61]","multiple sclerosis, oligoclonal band measurement","EFO_0003885, EFO_0005206"
"676","TAGLN2","rs12122337","10087260",1e-06,NA,NA," [1.56-3.07]","complicated disease course, perianal Crohn's disease","EFO_0006820, EFO_0005627"
"677","TAGLN2","rs77141833","21432754",2e-06,0.22,1.12,"[0.69-1.55]","red blood cell density measurement, sickle cell anemia","EFO_0007978, Orphanet_232"
"678","TAGLN2","rs6427499","21890082",2e-11,0.003600365,0.02413371,"[0.017-0.031]","platelet component distribution width","EFO_0007984"
"679","TAGLN2","rs6668050","61998352",1e-08,0.00470132,0.026738,"[0.018-0.036]","c-reactive protein measurement","EFO_0004458"
"680","TAGLN2","rs182344113","24730656",2e-07,NA,0.168,"[0.105-0.232]","alcohol consumption measurement","EFO_0007878"
"681","TAGLN2","rs1934074","63047135",2e-09,NA,NA,NA,"brain measurement, neuroimaging measurement","EFO_0004464, EFO_0004346"
"682","TAGLN2","rs10797055","36049807",1e-08,NA,NA,NA,"self reported educational attainment","EFO_0004784"
"683","TAGLN2","rs68093531","45575891",3e-06,0.0175,NA,NA,"bipolar disorder","EFO_0000289"
"684","IL6R","rs67156297","16509006",2e-08,NA,NA,"[1.09-1.19]","type ii diabetes mellitus","EFO_0001360"
"685","IL6R","rs8192284","61975791",8e-194,NA,0.9824,NA,"blood protein measurement","EFO_0007937"
"686","IL6R","rs2229238","20565",7e-07,NA,NA,NA,"coronary artery disease","EFO_0001645"
"688","IL6R","rs6694258","77341930",4e-10,NA,NA,"[1.03-1.06]","myocardial infarction","EFO_0000612"
"689","IL6R","rs6690230","10074148",1e-06,NA,NA,"[1.13-1.34]","anterior uveitis","EFO_1000811"
"690","IL6R","rs1889312","62502406",2e-10,NA,NA,NA,"red blood cell density measurement","EFO_0007978"
"691","IL6R","rs12118721","15757616",1e-07,NA,NA,"[1.04-1.08]","myocardial infarction","EFO_0000612"
"692","IL6R","rs8192282","62285367",4e-06,NA,NA,"[1.09-1.23]","systemic lupus erythematosus","EFO_0002690"
"693","IL6R","rs200586940","24262659",4e-06,0.00508268,0.0235299,"[0.014-0.033]","mosquito bite reaction size measurement, mosquito bite reaction itch intensity measurement","EFO_0008378, EFO_0008377"
"694","IL6R","rs7512646","36456947",2e-13,NA,NA,NA,"red blood cell distribution width","EFO_0005192"
"695","IL6R","rs139460294","61998248",8e-10,0.0081589,0.0502143,"[0.034-0.066]","c-reactive protein measurement","EFO_0004458"
"696","IL6R","rs6661909","62433572",4e-34,NA,NA,NA,"mean corpuscular volume","EFO_0004526"
"697","IL6R","rs1194606","62203681",3e-08,0.0055,0.0301,"[0.019-0.041]","type ii diabetes mellitus","EFO_0001360"
"698","IL6R","rs12077265","61998232",2e-78,0.00279738,0.0524344,"[0.047-0.058]","c-reactive protein measurement","EFO_0004458"
"699","IL6R","rs72698179","36523451",3e-11,NA,NA,NA,"FEV/FEC ratio","EFO_0004713"
"700","IL6R","rs12126142","63371469",0,NA,0.9662,NA,"interleukin 6 receptor subunit alpha measurement","EFO_0008187"
"701","IL6R","rs11579718","55422662",9e-06,0.05029627,0.22299147,"[0.12-0.32]","salicylurate measurement","EFO_0010532"
"702","IL6R","rs12133641","55678365",3e-73,0.0523554,0.947767,"[0.85-1.05]","interleukin 6 receptor subunit alpha measurement","EFO_0008187"
"703","IL6R","rs12129500","34616711",1e-09,NA,NA,NA,"atrial fibrillation","EFO_0000275"
"704","IL6R","rs6668968","36456943",1e-13,NA,NA,NA,"red blood cell distribution width","EFO_0005192"
"705","IL6R","rs4133213","62652522",2e-27,0.001974,0.021447,"[0.018-0.025]","mean corpuscular hemoglobin concentration","EFO_0004528"
"706","IL6R","rs11265613","24168387",1e-239,NA,NA,NA,"interleukin 6 receptor subunit alpha measurement","EFO_0008187"
"707","IL6R","rs12083537","41430649",1e-33,0.005,0.064,"[0.054-0.074]","c-reactive protein measurement","EFO_0004458"
"708","IL6R","rs4845372",NA,NA,NA,NA,NA,NA,NA
"709","IL6R","rs4537545","47262352",3e-19,0.008361499,0.07485344,"[0.058-0.091]","c-reactive protein measurement","EFO_0004458"
"710","IL6R","rs117744355","31583921",1e-12,0.02948,0.2098,"[0.15-0.27]","serum non-albumin protein measurement","EFO_0004568"
"711","IL6R","rs61812598","61998244",0,0.00204626,0.0914524,"[0.087-0.095]","c-reactive protein measurement","EFO_0004458"
"712","IL6R","rs4129267","31394416",0,0.02,1.1,"[1.06-1.14]","blood protein measurement","EFO_0007937"
"713","IL6R","rs7553271","31584428",2e-09,0.005019,0.03013,"[0.02-0.04]","albumin:globulin ratio measurement","EFO_0005128"
"714","IL6R","rs56383622","62031860",1e-22,0.024,0.231,"[0.18-0.28]","interleukin-6 measurement","EFO_0004810"
"715","IL6R","rs2481065","63340976",4e-13,NA,NA,"[1.19-1.36]","juvenile idiopathic arthritis","EFO_0002609"
"716","IL6R","rs6685323","64332729",2e-13,0.0023862266,0.017550677,"[0.013-0.022]","red blood cell distribution width","EFO_0005192"
"717","IL6R","rs4845625","63369056",6e-17,0.00486809,0.040684,"[0.031-0.05]","coronary artery disease","EFO_0001645"
"718","IL6R","rs4393147","62657654",6e-21,0.001895,0.01781,"[0.014-0.022]","monocyte count","EFO_0005091"
"719","IL6R","rs6698130",NA,NA,NA,NA,NA,NA,NA
"720","IL6R","rs12735458","61998236",1e-10,0.00881079,0.0569417,"[0.04-0.074]","c-reactive protein measurement","EFO_0004458"
"721","IL6R","rs4845617","31584118",2e-11,0.004893,0.03292,"[0.023-0.043]","serum non-albumin protein measurement","EFO_0004568"
"722","IL6R","rs72698115","24554739",1e-08,NA,NA,"[1.22-1.52]","oligoarticular juvenile idiopathic arthritis, polyarticular juvenile idiopathic arthritis, rheumatoid factor negative, systemic juvenile idiopathic arthritis","EFO_1002019, EFO_1001999"
"723","IL6R","rs10908819","62655451",6e-34,0.002067,0.025123,"[0.021-0.029]","mean corpuscular volume","EFO_0004526"
"724","IL6R","rs4845623","41436242",3e-73,NA,0.096,NA,"c-reactive protein measurement","EFO_0004458"
"725","IL6R","rs6689306","35122917",1e-18,NA,NA,"[1.05-1.08]","atrial fibrillation","EFO_0000275"
"726","IL6R","rs1194592","62179973",5e-10,0.0039,0.0242,"[0.017-0.032]","type ii diabetes mellitus","EFO_0001360"
"727","IL6R","rs139952834","61998240",2e-09,0.00957928,0.0577392,"[0.039-0.077]","c-reactive protein measurement","EFO_0004458"
"728","IL6R","rs12730935","49910473",2e-53,NA,NA,NA,"interleukin-6 receptor measurement, protein measurement","EFO_0004814, EFO_0004747"
"729","IL6R","rs68062313","44510719",3e-08,NA,NA,"1.06-1.13","type ii diabetes mellitus","EFO_0001360"
"730","IL6R","rs12121180","24168920",3e-15,0.0579565,0.4657,"[0.35-0.58]","interleukin 6 receptor subunit alpha measurement","EFO_0008187"
"731","FCRL3","rs2210913","17572275",9e-07,NA,NA,NA,"selective IgA deficiency disease","EFO_1001929"
"732","FCRL3","rs2065883","47657200",4e-21,0.06966,0.65791,"[0.52-0.79]","blood protein measurement","EFO_0007937"
"733","FCRL3","rs11264799","14872273",2e-07,NA,NA,"[1.082-1.191]","IgA glomerulonephritis","EFO_0004194"
"734","FCRL3","rs2785663","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"735","FCRL3","rs2785664","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"736","FCRL3","rs10489676","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"737","FCRL3","rs2785665","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"738","FCRL3","rs12145148","47486864",3e-33,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
